,NOC,Total,Gold
0,Afghanistan,Stable,Stable
1,Albania,Stable,Stable
2,Algeria,Front,Stable
3,Argentina,Stable,Stable
4,Armenia,Stable,Stable
5,Australasia,Stable,Stable
6,Australia,Stable,Back
7,Austria,Front,Back
8,Azerbaijan,Stable,Stable
9,Bahamas,Stable,Stable
10,Bahrain,Stable,Stable
11,Barbados,Stable,Stable
12,Belarus,Stable,Stable
13,Belgium,Stable,Stable
14,Bermuda,Stable,Stable
15,Botswana,Stable,Stable
16,Brazil,Stable,Stable
17,BritishWestIndies,Stable,Stable
18,Bulgaria,Stable,Stable
19,BurkinaFaso,Stable,Stable
20,Burundi,Stable,Stable
21,CaboVerde,Stable,Stable
22,Cameroon,Stable,Stable
23,Canada,Stable,Stable
24,Ceylon,Stable,Stable
25,Chile,Stable,Stable
26,China,Stable,Stable
27,ChineseTaipei,Stable,Stable
28,Colombia,Stable,Stable
29,CostaRica,Stable,Stable
30,Croatia,Stable,Stable
31,Cuba,Front,Front
32,Cyprus,Stable,Stable
33,CzechRepublic,Front,Back
34,Denmark,Stable,Stable
35,Djibouti,Stable,Stable
36,Dominica,Stable,Stable
37,DominicanRepublic,Stable,Stable
38,Ecuador,Stable,Stable
39,Egypt,Stable,Stable
40,Eritrea,Stable,Stable
41,Estonia,Stable,Stable
42,Ethiopia,Stable,Stable
43,FRYugoslavia,Stable,Stable
44,Fiji,Stable,Stable
45,Finland,Stable,Stable
46,France,Stable,Back
47,Gabon,Stable,Stable
48,Georgia,Stable,Stable
49,Germany,Front,Front
50,Ghana,Stable,Stable
51,GreatBritain,Stable,Stable
52,Greece,Back,Front
53,Grenada,Stable,Stable
54,Guatemala,Stable,Stable
55,Guyana,Stable,Stable
56,Haiti,Stable,Stable
57,HongKong,Stable,Stable
58,Hungary,Stable,Stable
59,Iceland,Stable,Stable
60,IndependentOlympicAthletes,Stable,Stable
61,IndependentOlympicParticipants,Stable,Stable
62,India,Stable,Front
63,Indonesia,Front,Stable
64,Iran,Stable,Stable
65,Iraq,Stable,Stable
66,Ireland,Stable,Stable
67,Israel,Stable,Stable
68,Italy,Stable,Stable
69,IvoryCoast,Stable,Stable
70,Jamaica,Front,Stable
71,Japan,Stable,Stable
72,Jordan,Stable,Stable
73,Kazakhstan,Stable,Stable
74,Kenya,Stable,Stable
75,Kosovo,Stable,Stable
76,Kuwait,Stable,Stable
77,Kyrgyzstan,Stable,Stable
78,Latvia,Stable,Stable
79,Lebanon,Stable,Stable
80,Lithuania,Front,Stable
81,Luxembourg,Stable,Stable
82,Macedonia,Stable,Stable
83,Malaysia,Stable,Stable
84,Mauritius,Stable,Stable
85,Mexico,Back,Stable
86,Mixedteam,Stable,Stable
87,Moldova,Stable,Stable
88,Mongolia,Front,Stable
89,Montenegro,Stable,Stable
90,Morocco,Stable,Stable
91,Mozambique,Stable,Stable
92,Namibia,Stable,Stable
93,Netherlands,Stable,Stable
94,NetherlandsAntilles,Stable,Stable
95,NewZealand,Stable,Stable
96,Niger,Stable,Stable
97,Nigeria,Stable,Stable
98,NorthKorea,Stable,Stable
99,NorthMacedonia,Stable,Stable
100,Norway,Stable,Stable
101,Pakistan,Stable,Stable
102,Panama,Stable,Stable
103,Paraguay,Stable,Stable
104,Peru,Stable,Stable
105,Philippines,Stable,Stable
106,Poland,Stable,Stable
107,Portugal,Stable,Stable
108,PuertoRico,Stable,Stable
109,Qatar,Stable,Stable
110,ROC,Stable,Stable
111,RefugeeOlympicTeam,Stable,Stable
112,Romania,Front,Stable
113,Russia,Stable,Stable
114,SaintLucia,Stable,Stable
115,Samoa,Stable,Stable
116,SanMarino,Stable,Stable
117,SaudiArabia,Stable,Stable
118,Senegal,Stable,Stable
119,Serbia,Front,Stable
120,SerbiaandMontenegro,Stable,Stable
121,Singapore,Stable,Stable
122,Slovakia,Stable,Stable
123,Slovenia,Stable,Stable
124,SouthAfrica,Back,Stable
125,SouthKorea,Back,Back
126,Spain,Back,Stable
127,SriLanka,Stable,Stable
128,Sudan,Stable,Stable
129,Suriname,Stable,Stable
130,Sweden,Stable,Stable
131,Switzerland,Stable,Front
132,Syria,Stable,Stable
133,Taiwan,Stable,Stable
134,Tajikistan,Stable,Stable
135,Tanzania,Stable,Stable
136,Thailand,Back,Stable
137,Togo,Stable,Stable
138,Tonga,Stable,Stable
139,TrinidadandTobago,Stable,Stable
140,Tunisia,Stable,Stable
141,Turkey,Front,Front
142,Turkmenistan,Stable,Stable
143,Uganda,Stable,Stable
144,Ukraine,Front,Back
145,UnifiedTeam,Stable,Stable
146,UnitedArabEmirates,Stable,Stable
147,UnitedStates,Stable,Stable
148,Uruguay,Stable,Stable
149,Uzbekistan,Stable,Stable
150,Venezuela,Stable,Stable
151,Vietnam,Stable,Stable
152,VirginIslands,Stable,Stable
153,Zambia,Stable,Stable
154,Zimbabwe,Stable,Stable
